?parent_label	?label
"instrument"	"vacuum extraction line"
"instrument"	"vacuum manifold"
"instrument"	"variable mode imager"
"instrument"	"vibration isolation table"
"instrument"	"vibrotome"
"instrument"	"video camera"
"instrument"	"video dimension analyzer"
"instrument"	"video splitter"
"instrument"	"virtual reality instrument"
"instrument"	"visual stimulation equipment"
"instrument"	"vitrification apparatus"
"instrument"	"voice recording equipment"
"instrument"	"voltage amplifier"@en
"instrument"	"voltage clamp device"
"instrument"	"vortexer"@en
"instrument"	"water jet cutter"
"instrument"	"water purification system"
"instrument"	"water softener"
"instrument"	"watercraft"
"instrument"	"western processing system "
"instrument"	"wet chemical bench"
"instrument"	"wind tunnel"
"instrument"	"wire bonder"
"instrument"	"zeta potential analyzer"
"ion exchange column"@en	"anion exchange column"@en
"ion exchange column"@en	"cation exchange column"@en
"lab rotator"	"end over end rotator"
"lathe"	"CNC Lathe"
"light box"	"ultraviolet transilluminator"
"light source"@en	"UV light source"
"light source"@en	"arc lamp"@en
"light source"@en	"laser"@en
"light source"@en	"two-photon laser/detector"
"liquid chromatography column"@en	"fast protein liquid chromatography instrument"
"liquid handler"@en	"liquid extraction robot"
"liquid handler"@en	"microplate dispenser"
"liquid handler"@en	"nanodispenser"
"location tracking device"	"home computer tracking device"
"location tracking device"	"medication tracking device"
"machine press"	"hydraulic press"
"machine press"	"punch press"
"machine press"	"tablet press"
"mass spectrometer"@en	"Fourier transform mass spectrometer"
"mass spectrometer"@en	"MALDI-TOF mass spectrometer"
"mass spectrometer"@en	"gas chromatography-mass spectrometry platform"
"mass spectrometer"@en	"inductively coupled plasma mass spectrometer"
"mass spectrometer"@en	"ion trap mass spectrometer"
"mass spectrometer"@en	"isotope ratio mass spectrometer "
"mass spectrometer"@en	"tandem mass spectrometer"
"mass spectrometer"@en	"time-of-flight secondary ion mass spectrometer"
"maze"	"elevated plus maze"
"maze"	"morris water maze"
"maze"	"radial arm maze"
"mechanical stage"	"motorized stage"
"medical device "	"diagnostic device"
"medical device "	"dialysis system"
"medical device "	"nebulizer"
"medical device "	"suction machine"
"microelectrode"	"microelectrode positioning system"
"micropipette"	"electronic repeater pipette"
"microplate reader"	"ELISA microplate reader"
"microplate reader"	"ELISPOT microplate reader"
"microplate reader"	"multimode microplate reader"
"microplate washer"	"ELISA microplate washer"
"microscope"@en	"atom probe"
"microscope"@en	"confocal microscope"
"microscope"@en	"digital microscope"
"microscope"@en	"dissecting surgical microscope"
"microscope"@en	"electron microscope"
"microscope"@en	"fixed stage microscope"
"microscope"@en	"incubator microscope"
"microscope"@en	"infrared microscope"
"microscope"@en	"interfacial force microscope"
"microscope"@en	"laser capture microdissection microscope"
"microscope"@en	"macroscope"
"microscope"@en	"optical microscope"
"microscope"@en	"scanning force microscope"
"microscope"@en	"super-resolution microscope"
"microscope"@en	"surgical microscope"
"microscope"@en	"teaching microscope"
"microscope"@en	"upright microscope"
"microtome"@en	"microtome cryostat"
"microtome"@en	"ultratome"
"microwave sample preparation system"	"microwave tissue processor"
"milling machine"	"CNC milling machine"
"milling machine"	"cryogenic mill"
"monitoring device"	"ECG monitor"
"monitoring device"	"blood pressure monitor"
"monitoring device"	"multiparameter monitor"
"multichannel pipette"	"multichannel electronic pipette"
"nucleic acid extraction/purification instrument"	"DNA extraction/purification instrument"
"nucleic acid extraction/purification instrument"	"RNA extraction/purification instrument"
"obsolete_platform"@en	"cell assay platform"
"obsolete_platform"@en	"microfluidics platform"
"obsolete_platform"@en	"proteomics platform"
"oligonucleotide synthesizer"@en	"DNA synthesizer"
"optical filter"@en	"band pass filter"@en
"optical filter"@en	"dichroic filter"@en
"optical filter"@en	"dichroic mirror"@en
"optical filter"@en	"long pass filter"@en
"optical filter"@en	"short pass filter"@en
"oven"	"forced convection oven"
"oven"	"gravity convection oven"
"oven"	"high temperature furnace"
